,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
118,99,74.33379764691243,10.0,0.2227268500889354,250.75235198572472,1.5,0.600518454644769,285.1663640207646,10.0,0.2189814844293718,192.147680901788,1.5,0.6001033364576537,234.6591816323252,1.5,0.2886929584907177,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,3782943002.511196,0,0.0,0.0,2.963445739566109,0.0
124,127,293.4580037485905,1.0,0.8248393412830495,284.9783493405564,10.0,0.1501001009197058,51.66880249057705,10.0,0.1439520786139839,237.7101357132756,1.0,0.9870693500908876,208.69812050432827,10.0,0.5534772389353925,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,2946104186.0270004,0,0.0,0.0,3.909685080587336,0.0
136,103,79.6269893781007,1.0,0.9639625779294344,149.6847142620441,1.5,0.1112986163301591,54.89943265688549,10.0,0.1476359161877734,41.17134848828324,1.0,0.2259101471459028,260.2643798656791,10.0,0.9313492001571476,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,2821744429.71988,0,0.0,0.0,3.9997518431292822,0.0
142,116,38.72254726246245,1.5,0.3715801213805738,238.81854307407903,10.0,0.8660839542125965,139.08290869942562,10.0,0.0665428578905736,325.0149815897109,1.0,0.8998794681908909,271.2634805710383,1.0,0.8684773942480667,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,2890331873.564595,0,0.0,0.0,4.363118344678811,0.0
144,76,178.09923270393924,1.0,0.1020882149540351,101.73071578996236,1.0,0.360348293480754,146.28856936372262,10.0,0.1283600359660034,169.76809690097235,1.5,0.9301347438433166,127.09218763354198,1.0,0.1313508572612634,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,3119825964.058839,0,0.0,0.0,2.530762391923182,0.0
147,106,64.04388239654921,1.0,0.4582604871465844,281.5056427371595,10.0,0.0826064509896604,168.04550367733506,1.0,0.2061500404407509,144.64876056601702,1.5,0.5493542792501264,38.53686048333444,1.0,0.4316731277438786,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,2612917631.0272064,0,0.0,0.0,2.6299915320051954,0.0
149,0,79.5998559182035,1.0,0.9987878691816324,286.9732201488626,10.0,0.6323571152043297,161.76477372435923,10.0,0.1655961591782954,222.95420819924175,1.5,0.5129588500045978,128.140896126705,1.0,0.220777029438689,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1418739070.831383,0,0.0,0.0,2.6580586495896594,0.0
161,49,227.5671503887288,10.0,0.4347032886070991,129.66099704542225,10.0,0.4169936363325048,206.62467527782852,1.0,0.133343828158121,159.57079665780105,10.0,0.9059278994336896,187.86198327953736,1.5,0.9799393168383554,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,3061399273.076662,0,0.0,0.0,3.923721013748663,0.0
163,123,345.0609962682774,1.5,0.6352437745045819,40.01277188415162,1.5,0.4698753015491246,240.7367171485528,1.0,0.198607397737362,87.13015758046481,1.5,0.2341941673645386,296.378181356131,10.0,0.6599881366503516,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,1643361172.2298791,0,0.0,0.0,2.807217779108326,0.0
168,88,35.675967502409854,1.5,0.2006491884208456,235.8710475485469,1.0,0.8030132322137209,162.39085747950588,1.5,0.0419847750940145,150.1450428454562,10.0,0.6394258581074348,89.5207974032133,1.0,0.1521667276561357,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,5250396172.767773,0,0.0,0.0,5.267035647643935,0.0
